iter	Poisson
0	0.5449509808
1	0.5240270097
2	0.504576373
3	0.4865523843
4	0.4697553305
5	0.4541124128
6	0.4394095789
7	0.4257938095
8	0.4130148572
9	0.4011538511
10	0.3900566702
11	0.3796772232
12	0.36997671
13	0.3608362719
14	0.3522730658
15	0.3442871629
16	0.3367766019
17	0.3297416413
18	0.3230754011
19	0.3169118849
20	0.3110667929
21	0.305447363
22	0.3002104127
23	0.295334195
24	0.2906704905
25	0.2863723465
26	0.2823288283
27	0.278414157
28	0.2748305094
29	0.2713612317
30	0.2680386477
31	0.264964244
32	0.2620242652
33	0.2592492456
34	0.2566943399
35	0.2542411592
36	0.2518389314
37	0.2495683326
38	0.2474597003
39	0.2454762383
40	0.2435670612
41	0.2417591107
42	0.2400521617
43	0.2384040898
44	0.2368525168
45	0.2353518556
46	0.2339646818
47	0.2326756062
48	0.2313960007
49	0.2302017967
50	0.2290837025
51	0.2280551161
52	0.2269857512
53	0.2259916302
54	0.2250597385
55	0.2241966776
56	0.223361683
57	0.2225533457
58	0.2218328774
59	0.2210503759
60	0.2203630078
61	0.2197147604
62	0.2190587416
63	0.2184032369
64	0.2178262208
65	0.2172892163
66	0.2167767149
67	0.2162794703
68	0.2158263523
69	0.2153628912
70	0.2149247215
71	0.214498212
72	0.2140957926
73	0.2137109886
74	0.2133125915
75	0.212951241
76	0.2125839203
77	0.212237301
78	0.2119291039
79	0.2116222379
80	0.211318667
81	0.2110437983
82	0.2107778693
83	0.2105262253
84	0.2102853795
85	0.2100803737
86	0.2098597153
87	0.209645267
88	0.2094561404
89	0.2092693752
90	0.2091021782
91	0.2089270894
92	0.2087218543
93	0.2085248111
94	0.2083517312
95	0.208189217
96	0.2080206028
97	0.2078687946
98	0.2077264519
99	0.2075867024
100	0.2074601283
101	0.2073363939
102	0.2072425876
103	0.2070909083
104	0.2069456606
105	0.2068365016
106	0.2067240966
107	0.2066156494
108	0.2065222053
109	0.2063993764
110	0.2062821078
111	0.206185979
112	0.2060875727
113	0.206001908
114	0.2059023739
115	0.2058078596
116	0.2057474767
117	0.2056733409
118	0.2055843212
119	0.2055214487
120	0.205482947
121	0.2054231932
122	0.2053645378
123	0.2053052425
124	0.2052237067
125	0.2051474514
126	0.2050760404
127	0.2050056075
128	0.204923195
129	0.2048732364
130	0.2048201823
131	0.2047529742
132	0.2047110563
133	0.2046597689
134	0.2046018629
135	0.2045565076
136	0.2045046508
137	0.2044541222
138	0.2043905587
139	0.2043379983
140	0.2043084686
141	0.204261047
