iter	Poisson
0	0.5450915969
1	0.5242197028
2	0.504832851
3	0.4868365614
4	0.4699290274
5	0.4543091873
6	0.439780266
7	0.4261526526
8	0.4134553096
9	0.4016061603
10	0.3904564754
11	0.3801789102
12	0.3704458284
13	0.3613781081
14	0.352896365
15	0.3448884879
16	0.3375434191
17	0.3304824931
18	0.3238980741
19	0.3176039563
20	0.3118902288
21	0.3063597377
22	0.3012252973
23	0.2964312634
24	0.2917296282
25	0.28729542
26	0.2831286973
27	0.279247709
28	0.2756676263
29	0.2721936617
30	0.2688615929
31	0.2657496324
32	0.2628002531
33	0.2599899424
34	0.2573745414
35	0.2549575705
36	0.2525830528
37	0.250318638
38	0.2482748457
39	0.2462440066
40	0.2443528263
41	0.2425382597
42	0.2408044001
43	0.2392204424
44	0.237693015
45	0.2362375329
46	0.2348168844
47	0.2334753297
48	0.2322048812
49	0.2309656667
50	0.2298993862
51	0.228847225
52	0.2278049486
53	0.2268436337
54	0.2258977057
55	0.2249853449
56	0.2241555367
57	0.2233532341
58	0.2225973244
59	0.2218757532
60	0.2211944935
61	0.2205095134
62	0.219909704
63	0.2193081699
64	0.2186978249
65	0.2181853719
66	0.2176365596
67	0.2171502878
68	0.216630682
69	0.2161958992
70	0.2158059656
71	0.2153809398
72	0.2149791739
73	0.2146027264
74	0.2141816368
75	0.2137889693
76	0.2134953623
77	0.2131364319
78	0.2128677422
79	0.2125503395
80	0.2122345635
81	0.212002596
82	0.2116943638
83	0.2114269251
84	0.2111952983
85	0.2109708958
86	0.2107403094
87	0.2105052855
88	0.2102788159
89	0.210067586
90	0.2098635957
91	0.2096665092
92	0.2095007739
93	0.2093255514
94	0.2091580356
95	0.208987031
96	0.2088122042
97	0.2086717375
98	0.2085583911
99	0.2083762696
100	0.2082228884
101	0.2081236783
102	0.207978153
103	0.2078941996
104	0.2077617178
105	0.207627476
106	0.2075018067
107	0.2073745111
108	0.2072912393
109	0.2071783621
110	0.2071086347
111	0.2069842911
112	0.2068679336
113	0.2067902947
114	0.2067321462
115	0.2066789038
116	0.2065971007
117	0.2065041566
118	0.2064303715
119	0.2063533851
120	0.2062624813
121	0.2062163224
122	0.2061252649
123	0.2060634135
124	0.2059892347
125	0.2059584462
126	0.2058828836
127	0.2058054921
128	0.2057547655
129	0.2056782389
130	0.2056203343
131	0.205581216
132	0.2055486109
133	0.20546209
134	0.2054013327
135	0.2053450732
136	0.2053101748
137	0.2052502194
138	0.2052168443
139	0.2051510258
140	0.2050937688
141	0.2050423853
142	0.2049860528
143	0.2049416113
144	0.2048972375
145	0.2048560663
146	0.2048163638
147	0.2047975602
148	0.2047501369
149	0.2047172525
150	0.2046809955
151	0.2046369478
152	0.2045940216
153	0.2045634998
154	0.2045158866
155	0.2044670157
156	0.2044278134
157	0.2043928658
158	0.2043705494
159	0.2043330931
160	0.2043107686
161	0.2042809168
162	0.2042520668
163	0.2042256252
164	0.2042080626
165	0.2041904019
166	0.2041570984
167	0.2041258836
168	0.2040931962
169	0.2040762942
170	0.2040439261
171	0.2040162605
172	0.2040009324
173	0.2039822773
174	0.2039672535
175	0.2039427222
176	0.203926439
177	0.2039014177
178	0.2038777342
179	0.2038517516
180	0.2038289493
181	0.203807472
182	0.2037862215
183	0.2037631853
184	0.2037370917
185	0.2037196831
186	0.2037022788
187	0.2036771463
188	0.2036595795
189	0.2036514849
190	0.2036318805
191	0.203608632
192	0.2035886757
193	0.2035707081
194	0.2035543724
195	0.2035449329
196	0.2035254136
197	0.2035033029
198	0.2034928343
199	0.2034730404
200	0.2034545356
201	0.2034397386
202	0.2034221292
203	0.2034077199
204	0.2033893263
205	0.2033688442
206	0.2033505824
207	0.2033334574
208	0.2033243374
209	0.2033185236
210	0.2033075899
211	0.2032976654
212	0.2032807504
213	0.2032575406
214	0.2032426242
215	0.2032269214
216	0.203212828
217	0.2032070015
218	0.2031888223
219	0.2031865705
220	0.2031701951
221	0.2031560388
222	0.203149339
223	0.2031397511
224	0.2031351161
225	0.203123767
226	0.2031114127
227	0.203106185
228	0.2030992829
229	0.2030825018
230	0.203069539
231	0.2030523289
232	0.2030444367
233	0.2030369656
234	0.2030224736
235	0.2030062117
236	0.2029939871
237	0.2029897881
238	0.2029772759
239	0.202968485
240	0.2029649819
241	0.2029640981
242	0.2029523396
243	0.2029409352
244	0.2029347525
245	0.2029256111
246	0.2029185241
247	0.2029085548
248	0.2029040455
249	0.2028941842
250	0.2028803903
251	0.2028700456
252	0.202865412
253	0.202862936
254	0.20285817
255	0.2028538358
256	0.2028467679
257	0.2028386695
258	0.2028315058
259	0.2028280022
260	0.2028247384
261	0.2028170778
262	0.2028131894
263	0.202802107
264	0.2027955947
265	0.2027922306
266	0.202784042
267	0.202780157
268	0.2027661929
269	0.2027543356
270	0.2027423689
271	0.2027344521
272	0.2027229415
273	0.2027190657
274	0.2027106889
275	0.2027032552
276	0.2026983511
277	0.2026955829
278	0.2026847039
279	0.20268223
280	0.2026739678
281	0.2026578598
282	0.2026556565
283	0.2026542445
284	0.2026477246
285	0.2026393028
286	0.2026338144
287	0.2026257469
288	0.2026141703
289	0.2026070163
290	0.2026018247
291	0.2025904665
292	0.2025781855
293	0.2025776693
294	0.2025681883
295	0.2025597759
296	0.2025576867
297	0.2025536128
298	0.2025436396
299	0.2025408673
300	0.2025359557
301	0.2025287544
302	0.2025226788
303	0.2025221127
304	0.2025197467
305	0.2025154768
306	0.2025059884
307	0.2025022901
308	0.2024981023
309	0.2024950697
310	0.2024925351
311	0.2024876635
312	0.2024757872
313	0.202464834
314	0.2024639333
315	0.202459101
316	0.2024554834
317	0.2024430402
318	0.2024344902
319	0.2024333436
320	0.2024209486
321	0.2024109978
322	0.2023956441
323	0.202384732
324	0.202377129
325	0.2023694042
326	0.202361099
327	0.2023606261
328	0.2023525735
329	0.2023487818
330	0.2023474829
331	0.2023431273
332	0.2023331509
333	0.2023311287
334	0.2023283325
335	0.2023214914
336	0.2023100495
337	0.2022994783
338	0.2022913642
339	0.2022853863
340	0.202283318
341	0.2022809201
342	0.2022707105
343	0.2022666576
344	0.2022635695
345	0.2022565301
346	0.2022547706
347	0.2022491779
348	0.2022404189
349	0.2022389485
350	0.2022370724
351	0.2022367271
352	0.202236722
353	0.2022327846
354	0.2022283408
355	0.2022227182
356	0.2022185168
357	0.2022117186
358	0.2022090228
359	0.2022052185
360	0.2022005899
361	0.2021961002
362	0.2021934096
363	0.2021917536
364	0.202180515
365	0.2021762824
366	0.2021743654
367	0.2021657115
368	0.2021579388
369	0.20215259
370	0.2021483789
371	0.2021431018
372	0.2021389878
373	0.202134289
374	0.2021313927
375	0.2021241353
376	0.2021195679
377	0.202111569
378	0.2021061983
379	0.2021020756
380	0.2020952161
381	0.2020935961
382	0.2020854394
383	0.2020849126
384	0.2020803197
385	0.2020770823
386	0.2020651378
387	0.2020584317
388	0.2020526806
389	0.2020525687
390	0.2020482584
391	0.2020442529
392	0.2020389459
393	0.2020338306
394	0.2020243474
395	0.2020217487
396	0.2020188769
397	0.2020105999
398	0.2020085199
399	0.2020070387
400	0.2020002759
401	0.202000167
402	0.2019990398
403	0.2019963352
404	0.2019955694
405	0.201995253
406	0.201988704
407	0.2019872456
408	0.2019828999
409	0.2019805337
410	0.2019718905
411	0.2019681609
412	0.2019627013
413	0.2019562712
414	0.2019526542
415	0.2019495779
416	0.2019450231
417	0.2019383561
418	0.201936261
419	0.2019324477
420	0.2019295747
421	0.201925883
422	0.2019167078
423	0.2019121147
424	0.2019120161
425	0.2019116853
426	0.2019076209
427	0.2019052813
428	0.2019012875
429	0.2019009104
430	0.2018894446
431	0.2018880523
432	0.2018807964
433	0.2018722067
434	0.2018706193
435	0.2018643509
436	0.2018567106
437	0.2018566202
438	0.2018525407
439	0.201849102
440	0.2018380043
441	0.2018369747
442	0.2018339895
443	0.2018299765
444	0.2018258502
445	0.2018242537
446	0.2018242173
447	0.2018217694
448	0.2018176541
449	0.2018167113
450	0.201814055
451	0.2018135862
452	0.2018075306
453	0.2018066849
454	0.201800609
455	0.2017985444
456	0.201798345
457	0.2017960226
458	0.2017875429
459	0.2017812777
460	0.2017764933
461	0.2017738345
462	0.2017733414
463	0.2017717689
464	0.2017715803
465	0.2017699368
466	0.2017685015
467	0.2017601633
468	0.2017592858
469	0.2017551946
470	0.2017506604
471	0.2017477826
472	0.2017427967
473	0.2017416537
474	0.2017337337
475	0.201733097
476	0.2017288488
477	0.2017214205
478	0.2017172451
479	0.2017107884
480	0.2017074695
481	0.2016986152
482	0.2016981967
483	0.2016942258
484	0.2016914429
485	0.2016898282
486	0.2016894306
487	0.2016878924
488	0.2016878264
489	0.2016856419
490	0.2016817092
491	0.2016796015
492	0.2016770398
493	0.2016735711
494	0.20167136
495	0.2016686714
496	0.2016658263
497	0.2016653783
498	0.2016615074
499	0.2016586537
500	0.2016582345
501	0.2016562672
502	0.2016529479
503	0.2016518644
504	0.2016511628
505	0.2016478592
506	0.2016463228
507	0.2016438782
508	0.2016397697
509	0.2016389826
510	0.2016314273
511	0.2016268476
512	0.2016247693
513	0.2016237006
514	0.2016231468
515	0.2016186418
516	0.2016100873
517	0.2016026834
518	0.2016004808
519	0.201592279
520	0.2015856762
521	0.2015813098
522	0.2015810301
523	0.2015774938
524	0.2015702715
525	0.201568982
526	0.2015689795
527	0.2015600747
528	0.2015571663
529	0.2015551522
530	0.2015529763
531	0.2015529738
532	0.2015517804
533	0.201548959
534	0.2015475276
535	0.2015463543
536	0.2015451573
537	0.2015424704
538	0.2015384492
539	0.201535957
540	0.2015339717
541	0.2015328278
542	0.2015301089
543	0.2015300451
544	0.2015246721
545	0.2015222245
546	0.2015189129
547	0.2015133432
548	0.2015072471
549	0.2015064091
550	0.2015063176
551	0.2015044633
552	0.201502001
553	0.2015012419
554	0.2014991419
555	0.2014934675
556	0.2014933882
557	0.201486926
558	0.2014858438
559	0.2014828203
560	0.2014818872
561	0.2014812279
562	0.2014796889
563	0.2014781756
564	0.2014777559
565	0.20147641
566	0.2014760565
567	0.2014750129
568	0.2014717882
569	0.201465154
570	0.2014586443
571	0.2014553728
572	0.201453256
573	0.2014520129
574	0.2014445497
575	0.2014400273
576	0.201432067
577	0.2014318365
578	0.2014283379
579	0.2014279975
580	0.201427103
581	0.2014222889
582	0.2014183468
583	0.2014181998
584	0.2014147579
585	0.2014084648
586	0.2014025382
587	0.2014024448
588	0.2013965037
589	0.2013921892
590	0.2013909712
591	0.2013903168
592	0.2013895521
593	0.2013847333
594	0.2013818888
595	0.2013802498
596	0.2013776501
597	0.2013776055
598	0.2013710348
599	0.2013676018
