iter	Poisson
0	0.5456975916
1	0.5247341566
2	0.5052123799
3	0.4871673209
4	0.4703626897
5	0.4546844378
6	0.4400968077
7	0.4264664147
8	0.413772736
9	0.4021135212
10	0.3909121473
11	0.3804729629
12	0.3707651972
13	0.3615493028
14	0.3528965074
15	0.34492895
16	0.3374153797
17	0.3303463959
18	0.3236327678
19	0.3174586239
20	0.3114828457
21	0.3059190471
22	0.300757587
23	0.2958442332
24	0.2912828888
25	0.2869288354
26	0.282804708
27	0.2789291872
28	0.275342669
29	0.271858912
30	0.2685178868
31	0.2653957202
32	0.2624432313
33	0.2596987771
34	0.2570877156
35	0.2546132624
36	0.2522055014
37	0.2499659347
38	0.2478050987
39	0.2457766522
40	0.2438492401
41	0.2420010355
42	0.2402726755
43	0.2386833273
44	0.2371645284
45	0.2357184022
46	0.2344045031
47	0.2330701576
48	0.2318349395
49	0.2306691195
50	0.2296255996
51	0.2285139826
52	0.227454892
53	0.2265431309
54	0.2255703646
55	0.2247153879
56	0.2239174769
57	0.2231218975
58	0.2223182856
59	0.2216525523
60	0.2209765478
61	0.2203078495
62	0.2196935861
63	0.21914089
64	0.2185899669
65	0.2180115981
66	0.2174664301
67	0.2169642703
68	0.2164478447
69	0.2159611868
70	0.2154962215
71	0.2150546938
72	0.2145908533
73	0.2141741298
74	0.2137899567
75	0.2134331357
76	0.2131232157
77	0.2128161945
78	0.2124532894
79	0.2121762775
80	0.2118693605
81	0.2115785991
82	0.2113127939
83	0.2110427427
84	0.2107922849
85	0.210565003
86	0.2103223513
87	0.2100436078
88	0.2098434641
89	0.2096784896
90	0.209490023
91	0.2092947636
92	0.2090971358
93	0.2089339291
94	0.2087470048
95	0.2086258302
96	0.2084354892
97	0.2082750574
98	0.208132744
99	0.2080015545
100	0.2079051169
101	0.207761881
102	0.2076207104
103	0.2075136119
104	0.2073949581
105	0.2072653702
106	0.2071364086
107	0.2070406567
108	0.2069366324
109	0.206804791
110	0.2067123244
111	0.2066471264
112	0.2065858129
113	0.2064655297
114	0.2063787021
115	0.2062789645
116	0.2062260624
117	0.20612325
118	0.2060476765
119	0.2059596219
120	0.2058660054
121	0.2057752994
122	0.205731049
123	0.2056684299
124	0.2056240042
125	0.2055783892
126	0.2055378788
127	0.2054749099
128	0.2053841864
129	0.2053037078
130	0.2052323143
131	0.2051591666
132	0.2050983306
133	0.2050222911
134	0.2049593817
135	0.2048968385
136	0.2048407783
137	0.2048107416
138	0.2047494235
139	0.2047087958
140	0.2046597825
141	0.2046116396
142	0.2045855022
143	0.2045457294
144	0.2044983026
145	0.2044439446
146	0.2044004987
147	0.2043663727
148	0.204330025
149	0.2042798125
150	0.2042383492
151	0.204206306
152	0.2041697924
153	0.2041423497
154	0.2041006088
155	0.2040707431
156	0.2040313101
157	0.2040026439
158	0.203971562
159	0.2039442694
160	0.2039147601
161	0.2038879881
162	0.2038486561
163	0.2038162768
164	0.2037911592
165	0.2037489723
166	0.2037292178
167	0.2036936999
168	0.2036642479
169	0.2036280489
170	0.2036025252
171	0.2035804457
172	0.2035510808
173	0.2035159818
174	0.203495317
175	0.2034842575
176	0.2034600677
177	0.2034355387
178	0.2034112155
179	0.2033921287
180	0.2033756245
181	0.2033679649
182	0.2033413249
183	0.2033321107
184	0.2033134018
185	0.2032873445
186	0.2032856174
187	0.2032674309
188	0.2032461311
189	0.2032254074
190	0.2032112106
191	0.2031900262
192	0.2031694159
193	0.2031505241
194	0.2031246097
195	0.2031059916
196	0.2030869573
197	0.2030776617
198	0.2030574406
199	0.2030404355
200	0.2030212505
201	0.2030101254
202	0.2029980847
203	0.2029882245
204	0.2029690183
205	0.2029505256
206	0.2029367468
207	0.2029281214
208	0.2029146376
209	0.2028980057
210	0.2028847239
211	0.2028777949
212	0.2028633331
213	0.20284859
214	0.2028329488
215	0.2028193723
216	0.2028141993
217	0.2027997477
218	0.2027926588
219	0.2027857159
220	0.2027691109
221	0.2027553557
222	0.202741652
223	0.2027206352
224	0.2027119432
225	0.202694674
226	0.2026891362
227	0.2026809939
228	0.2026629797
229	0.2026489645
230	0.2026358433
231	0.2026206269
232	0.2026014715
233	0.2025848657
234	0.2025721418
235	0.2025594632
236	0.2025480929
237	0.2025338693
238	0.2025180877
239	0.2025014537
240	0.2024933758
241	0.2024833513
242	0.202470365
243	0.2024649888
244	0.2024572214
245	0.2024447006
246	0.2024346941
247	0.2024160898
248	0.2024125585
249	0.2024012371
250	0.2023990149
251	0.2023949635
252	0.202388714
253	0.2023791276
254	0.2023686034
255	0.2023571081
256	0.2023457558
257	0.2023389708
258	0.2023244228
259	0.2023135447
260	0.2023076943
261	0.2022945701
262	0.2022901411
263	0.20227631
264	0.2022662526
265	0.2022583481
266	0.2022408785
267	0.2022371387
268	0.2022241733
269	0.2022050902
270	0.2021998902
271	0.2021872477
272	0.2021775222
273	0.2021659082
274	0.2021581856
275	0.2021473153
276	0.2021391228
277	0.2021336714
278	0.2021247923
279	0.202115698
280	0.2021149057
281	0.202106396
282	0.2020940343
283	0.2020899749
284	0.2020788798
285	0.2020679675
286	0.2020590042
287	0.2020484995
288	0.2020415857
289	0.2020301529
290	0.2020261517
291	0.2020171654
292	0.2020136453
293	0.2020032183
294	0.2019970452
295	0.2019873689
296	0.2019833776
297	0.2019725392
298	0.2019660302
299	0.2019559637
300	0.2019536888
301	0.2019480336
302	0.2019448839
303	0.2019382657
304	0.2019338714
305	0.2019337134
306	0.2019333149
307	0.2019224387
308	0.2019115641
309	0.2019036446
310	0.20190097
311	0.2018933825
312	0.2018834538
313	0.2018769367
314	0.2018712207
315	0.2018673538
316	0.2018649719
317	0.2018570028
318	0.2018534106
319	0.201844922
320	0.2018400556
321	0.2018360941
322	0.2018282769
323	0.2018275906
324	0.2018244964
325	0.2018210115
326	0.2018166377
327	0.2018108782
328	0.201803466
329	0.2017942051
330	0.2017920676
331	0.2017872869
332	0.201782417
333	0.2017749175
334	0.2017687732
335	0.2017603412
336	0.201759177
337	0.2017581442
338	0.2017501215
339	0.2017456183
340	0.201741343
341	0.2017358256
342	0.2017311116
343	0.2017236625
344	0.2017218151
345	0.2017208263
346	0.2017204867
347	0.2017152532
348	0.2017083146
349	0.2017055545
350	0.2016997823
351	0.2016945167
352	0.2016891583
353	0.2016830992
354	0.2016727706
355	0.2016666791
356	0.2016653591
357	0.2016558915
358	0.2016553741
359	0.2016463894
360	0.2016381525
361	0.2016305579
362	0.2016218237
363	0.2016162482
364	0.2016139223
365	0.201612917
366	0.2016101931
367	0.2016071787
368	0.2016048676
369	0.2015982674
370	0.2015965591
371	0.2015913672
372	0.2015884245
373	0.2015746709
374	0.2015724758
375	0.2015651188
376	0.2015589565
377	0.2015484657
378	0.2015463656
379	0.2015346954
380	0.2015315315
381	0.2015271656
382	0.2015264708
383	0.2015239323
384	0.2015193973
385	0.2015154801
386	0.2015119565
387	0.2015087943
388	0.2015025055
389	0.2014989464
390	0.2014955794
391	0.2014897921
392	0.2014839403
393	0.201481117
394	0.2014779903
395	0.2014744513
396	0.2014694955
397	0.2014659296
398	0.2014628887
399	0.2014602921
400	0.2014553295
401	0.2014544512
402	0.2014514548
403	0.2014484094
404	0.2014443452
405	0.2014379547
406	0.2014360041
407	0.2014325587
408	0.2014320706
409	0.2014288825
410	0.2014242583
411	0.2014214003
412	0.201421133
413	0.201417356
414	0.2014140397
415	0.2014068582
416	0.2014029739
417	0.2013971553
418	0.2013950551
419	0.2013927682
420	0.2013926992
421	0.2013908786
422	0.2013908755
423	0.2013851188
424	0.2013841643
425	0.2013838639
426	0.2013823881
427	0.2013816097
