iter	Passed	Remaining
0	134	80327
1	263	78682
2	400	79633
3	525	78300
4	656	78179
5	804	79655
6	962	81518
7	1110	82180
8	1246	81825
9	1376	81205
10	1503	80506
11	1633	80062
12	1775	80162
13	1917	80271
14	2049	79936
15	2181	79639
16	2294	78673
17	2423	78347
18	2559	78252
19	2701	78333
20	2845	78459
21	2987	78479
22	3137	78720
23	3276	78625
24	3410	78446
25	3505	77389
26	3645	77364
27	3798	77592
28	3937	77532
29	4084	77601
30	4234	77717
31	4349	77205
32	4474	76873
33	4587	76370
34	4726	76296
35	4858	76115
36	4995	76010
37	5129	75866
38	5263	75718
39	5394	75523
40	5528	75376
41	5659	75184
42	5794	75063
43	5922	74843
44	6056	74691
45	6195	74612
46	6346	74673
47	6471	74426
48	6582	74015
49	6720	73922
50	6777	72953
51	6912	72850
52	7041	72669
53	7127	72064
54	7260	71949
55	7365	71545
56	7486	71320
57	7622	71229
58	7765	71206
59	7840	70565
60	7962	70355
61	8100	70287
62	8214	70015
63	8296	69482
64	8376	68946
65	8506	68828
66	8641	68748
67	8776	68661
68	8921	68656
69	9054	68556
70	9189	68466
71	9321	68354
72	9448	68212
73	9582	68113
74	9706	67948
75	9839	67839
76	9900	67249
77	10021	67069
78	10150	66944
79	10240	66563
80	10370	66448
81	10495	66297
82	10619	66148
83	10752	66050
84	10889	65979
85	11018	65855
86	11151	65755
87	11290	65688
88	11368	65275
89	11461	64948
90	11589	64826
91	11719	64710
92	11852	64614
93	11976	64466
94	12101	64326
95	12154	63808
96	12298	63773
97	12438	63713
98	12569	63610
99	12702	63512
100	12764	63062
101	12913	63048
102	13059	63016
103	13180	62862
104	13312	62759
105	13441	62643
106	13573	62537
107	13695	62389
108	13834	62317
109	13971	62238
110	14096	62102
111	14176	61769
112	14240	61371
113	14364	61238
114	14480	61070
115	14615	60980
116	14687	60634
117	14833	60589
118	14967	60499
119	15091	60367
120	15234	60308
121	15388	60292
122	15517	60176
123	15649	60072
124	15775	59945
125	15880	59741
126	15971	59484
127	16091	59337
128	16229	59256
129	16366	59171
130	16504	59090
131	16647	59023
132	16762	58856
133	16911	58810
134	17049	58724
135	17178	58610
136	17309	58498
137	17404	58266
138	17529	58136
139	17654	58006
140	17783	57892
141	17925	57817
142	18054	57699
143	18192	57609
144	18327	57511
145	18458	57397
146	18596	57308
147	18696	57100
148	18828	56990
149	18953	56861
150	19089	56763
151	19193	56570
152	19316	56435
153	19443	56310
154	19592	56250
155	19742	56190
156	19888	56117
157	20024	56017
158	20159	55914
159	20312	55859
160	20453	55770
161	20596	55687
162	20731	55580
163	20881	55514
164	21030	55443
165	21177	55366
166	21305	55241
167	21436	55121
168	21585	55049
169	21742	54996
170	21899	54940
171	22038	54839
172	22181	54748
173	22323	54654
174	22448	54518
175	22577	54391
176	22712	54278
177	22862	54201
178	23013	54127
179	23160	54040
180	23296	53928
181	23429	53811
182	23582	53738
183	23717	53622
184	23855	53512
185	23982	53381
186	24030	53072
187	24157	52941
188	24282	52805
189	24423	52703
190	24552	52575
191	24696	52480
192	24840	52382
193	24972	52261
194	25114	52161
195	25249	52044
196	25390	51941
197	25537	51848
198	25664	51716
199	25796	51593
200	25936	51485
201	26066	51358
202	26203	51244
203	26344	51140
204	26492	51046
205	26630	50934
206	26770	50824
207	26911	50717
208	27047	50600
209	27194	50504
210	27313	50355
211	27453	50244
212	27596	50139
213	27718	49997
214	27852	49875
215	27998	49775
216	28126	49642
217	28271	49540
218	28427	49456
219	28555	49323
220	28685	49194
221	28814	49062
222	28962	48964
223	29111	48865
224	29248	48748
225	29389	48635
226	29512	48494
227	29634	48351
228	29784	48253
229	29905	48109
230	30043	47991
231	30193	47892
232	30327	47768
233	30460	47643
234	30594	47519
235	30735	47406
236	30869	47281
237	30998	47148
238	31132	47024
239	31255	46883
240	31390	46760
241	31539	46658
242	31660	46513
243	31782	46371
244	31921	46253
245	32046	46114
246	32192	46007
247	32329	45887
248	32395	45665
249	32528	45540
250	32646	45392
251	32779	45266
252	32921	45152
253	33062	45038
254	33178	44887
255	33337	44796
256	33481	44684
257	33623	44570
258	33851	44568
259	34000	44462
260	34146	44350
261	34300	44250
262	34443	44135
263	34595	44030
264	34743	43921
265	34926	43854
266	35082	43754
267	35176	43576
268	35302	43439
269	35442	43318
270	35606	43227
271	35744	43103
272	35904	43006
273	36045	42886
274	36214	42799
275	36346	42668
276	36493	42553
277	36626	42424
278	36752	42285
279	36889	42158
280	36958	41956
281	37092	41827
282	37227	41700
283	37350	41559
284	37495	41442
285	37628	41312
286	37761	41182
287	37892	41049
288	38036	40932
289	38183	40816
290	38311	40681
291	38439	40546
292	38578	40421
293	38719	40300
294	38842	40159
295	39007	40061
296	39144	39935
297	39296	39823
298	39426	39689
299	39560	39560
300	39698	39434
301	39833	39305
302	39977	39185
303	40125	39070
304	40273	38952
305	40410	38826
306	40475	38629
307	40604	38494
308	40754	38380
309	40885	38247
310	41039	38136
311	41180	38012
312	41320	37887
313	41471	37773
314	41626	37662
315	41798	37565
316	41975	37473
317	42150	37378
318	42302	37263
319	42466	37157
320	42606	37031
321	42760	36917
322	42913	36802
323	43063	36684
324	43217	36569
325	43369	36451
326	43509	36324
327	43667	36212
328	43836	36108
329	43996	35997
330	44139	35871
331	44269	35735
332	44417	35613
333	44549	35479
334	44714	35371
335	44857	35245
336	44951	35080
337	45072	34937
338	45203	34802
339	45335	34668
340	45461	34529
341	45594	34396
342	45730	34264
343	45852	34122
344	45989	33992
345	46082	33829
346	46157	33653
347	46302	33529
348	46432	33393
349	46571	33265
350	46705	33132
351	46848	33007
352	46992	32881
353	47127	32749
354	47252	32610
355	47385	32477
356	47526	32350
357	47670	32224
358	47738	32047
