iter	Passed	Remaining
0	242	145078
1	351	105034
2	492	97938
3	628	93719
4	700	83365
5	822	81461
6	972	82366
7	1115	82559
8	1250	82138
9	1409	83176
10	1535	82243
11	1678	82249
12	1803	81417
13	1939	81163
14	2060	80346
15	2186	79799
16	2313	79325
17	2447	79135
18	2589	79184
19	2769	80305
20	2957	81553
21	3116	81888
22	3245	81416
23	3376	81047
24	3483	80111
25	3612	79752
26	3734	79262
27	3855	78752
28	4012	79007
29	4139	78644
30	4256	78130
31	4375	77672
32	4489	77142
33	4611	76760
34	4731	76377
35	4859	76125
36	4989	75918
37	5060	74842
38	5189	74655
39	5274	73845
40	5405	73699
41	5531	73487
42	5687	73677
43	5783	73083
44	5917	72976
45	6041	72757
46	6178	72694
47	6326	72755
48	6451	72547
49	6574	72322
50	6688	72001
51	6812	71788
52	6939	71625
53	7062	71410
54	7183	71182
55	7297	70885
56	7431	70793
57	7553	70586
58	7639	70051
59	7772	69948
60	7892	69737
61	8015	69554
62	8133	69325
63	8248	69080
64	8378	68961
65	8498	68761
66	8621	68585
67	8747	68437
68	8870	68267
69	9006	68195
70	9128	68017
71	9261	67918
72	9384	67748
73	9502	67544
74	9622	67355
75	9746	67197
76	9865	67006
77	9988	66844
78	10099	66607
79	10206	66343
80	10331	66196
81	10391	65642
82	10509	65463
83	10632	65315
84	10758	65184
85	10885	65058
86	11001	64869
87	11123	64720
88	11238	64526
89	11350	64321
90	11461	64110
91	11527	63650
92	11604	63261
93	11730	63147
94	11857	63030
95	12012	63064
96	12154	63029
97	12274	62873
98	12398	62743
99	12518	62590
100	12636	62430
101	12768	62338
102	12890	62197
103	13017	62085
104	13142	61958
105	13250	61751
106	13382	61659
107	13497	61489
108	13614	61328
109	13732	61172
110	13857	61049
111	13975	60893
112	14103	60783
113	14222	60632
114	14339	60477
115	14455	60313
116	14588	60225
117	14734	60186
118	14851	60030
119	14965	59861
120	15105	59797
121	15239	59709
122	15350	59530
123	15394	59096
124	15518	58968
125	15636	58823
126	15773	58745
127	15886	58580
128	16016	58479
129	16136	58337
130	16257	58204
131	16378	58068
132	16494	57917
133	16536	57509
134	16650	57351
135	16768	57211
136	16893	57093
137	17011	56950
138	17133	56825
139	17266	56731
140	17392	56616
141	17494	56425
142	17613	56289
143	17739	56176
144	17852	56019
145	17968	55874
146	18098	55773
147	18224	55659
148	18341	55516
149	18464	55392
150	18582	55255
151	18697	55109
152	18820	54985
153	18954	54894
154	19085	54794
155	19199	54644
156	19325	54529
157	19448	54406
158	19582	54312
159	19698	54172
160	19822	54050
161	19950	53938
162	20066	53798
163	20197	53695
164	20323	53581
165	20439	53437
166	20558	53304
167	20678	53172
168	20800	53047
169	20922	52921
170	21047	52803
171	21190	52729
172	21302	52580
173	21425	52455
174	21541	52315
175	21654	52166
176	21786	52065
177	21905	51933
178	22037	51831
179	22164	51716
180	22278	51573
181	22405	51459
182	22513	51301
183	22626	51156
184	22747	51027
185	22870	50906
186	22997	50790
187	23130	50690
188	23265	50592
189	23373	50438
190	23487	50295
191	23605	50162
192	23721	50024
193	23838	49888
194	23956	49755
195	24071	49617
196	24208	49523
197	24321	49379
198	24439	49247
199	24567	49134
200	24679	48989
201	24805	48874
202	24924	48743
203	25046	48620
204	25172	48502
205	25291	48373
206	25416	48255
207	25537	48129
208	25656	47998
209	25795	47905
210	25911	47770
211	26026	47632
212	26150	47513
213	26255	47358
214	26396	47268
215	26521	47148
216	26633	47006
217	26762	46895
218	26887	46776
219	26997	46632
220	27129	46524
221	27248	46396
222	27357	46249
223	27465	46102
224	27595	45993
225	27711	45858
226	27831	45732
227	27956	45613
228	28076	45485
229	28205	45374
230	28327	45251
231	28445	45120
232	28555	44978
233	28680	44859
234	28802	44735
235	28924	44612
236	29042	44482
237	29182	44386
238	29298	44253
239	29425	44137
240	29545	44012
241	29603	43793
242	29726	43672
243	29839	43536
244	29965	43419
245	30099	43313
246	30230	43204
247	30345	43070
248	30477	42961
249	30595	42833
250	30707	42697
251	30834	42581
252	30949	42447
253	31068	42321
254	31207	42222
255	31332	42103
256	31456	41983
257	31582	41864
258	31699	41735
259	31822	41614
260	31975	41531
261	32104	41417
262	32244	41317
263	32365	41193
264	32502	41087
265	32606	40942
266	32720	40809
267	32837	40678
268	32952	40547
269	33076	40426
270	33207	40314
271	33332	40194
272	33454	40071
273	33577	39950
274	33694	39820
275	33834	39718
276	33960	39599
277	34085	39480
278	34212	39362
279	34349	39256
280	34468	39130
281	34588	39004
282	34702	38871
283	34831	38756
284	34957	38637
285	35085	38520
286	35221	38411
287	35350	38296
288	35470	38170
289	35580	38033
290	35690	37897
291	35819	37782
292	35934	37651
293	36056	37527
294	36178	37405
295	36297	37278
296	36410	37146
297	36528	37018
298	36645	36890
299	36761	36761
300	36897	36652
301	37026	36536
302	37148	36412
303	37281	36300
304	37425	36198
305	37541	36069
306	37654	35937
307	37769	35807
308	37884	35677
309	38008	35556
310	38121	35425
311	38241	35300
312	38355	35169
313	38475	35044
314	38600	34924
315	38718	34797
316	38835	34670
317	38963	34552
318	39092	34435
319	39228	34324
320	39349	34200
321	39458	34066
322	39594	33955
323	39720	33836
324	39851	33720
325	39977	33600
326	40088	33468
327	40216	33350
328	40333	33222
329	40482	33121
330	40609	33002
331	40722	32872
332	40838	32744
333	40896	32570
334	41032	32458
335	41150	32332
336	41261	32201
337	41385	32079
338	41506	31956
339	41637	31840
340	41750	31711
341	41864	31582
342	41994	31464
343	42101	31331
344	42217	31204
345	42347	31087
346	42461	30959
347	42595	30845
348	42760	30753
349	42904	30645
350	43033	30528
351	43153	30403
352	43287	30289
353	43418	30172
354	43541	30050
355	43676	29935
356	43802	29815
357	43923	29691
358	44041	29565
359	44159	29439
360	44281	29316
361	44408	29196
362	44523	29068
363	44642	28943
364	44761	28819
365	44897	28705
366	45028	28587
367	45142	28459
368	45274	28342
369	45397	28220
370	45512	28092
371	45629	27966
372	45741	27837
373	45853	27708
374	45972	27583
375	46098	27462
376	46201	27328
377	46328	27208
378	46445	27083
379	46555	26953
380	46686	26835
381	46797	26706
382	46917	26582
383	47029	26454
384	47144	26327
385	47201	26168
386	47335	26052
387	47444	25923
388	47562	25798
389	47677	25672
390	47795	25548
391	47920	25427
392	48036	25301
393	48167	25184
394	48287	25060
395	48396	24931
396	48511	24805
397	48632	24682
398	48738	24552
399	48858	24429
400	48975	24304
401	49087	24177
402	49200	24050
403	49328	23931
404	49438	23803
405	49562	23682
406	49675	23556
407	49788	23430
408	49909	23307
409	50022	23180
410	50133	23054
411	50257	22933
412	50375	22809
413	50487	22682
414	50607	22559
415	50726	22436
416	50850	22315
417	50969	22192
418	51068	22060
419	51160	21926
420	51261	21795
421	51344	21657
422	51469	21536
423	51584	21412
424	51710	21292
425	51826	21168
426	51960	21051
427	52084	20931
428	52204	20808
429	52339	20692
430	52466	20572
431	52593	20452
432	52712	20330
433	52824	20204
434	52978	20095
435	53092	19970
436	53211	19847
437	53340	19728
438	53472	19610
439	53583	19485
440	53682	19354
441	53793	19229
442	53910	19106
443	54034	18985
444	54154	18862
445	54261	18736
446	54370	18610
447	54464	18479
448	54591	18359
449	54706	18235
450	54832	18115
451	54952	17993
452	55078	17873
453	55194	17749
454	55313	17627
455	55443	17508
456	55565	17387
457	55691	17266
458	55810	17144
459	55919	17019
460	56045	16898
461	56164	16776
462	56284	16654
463	56389	16527
464	56501	16403
465	56623	16282
466	56735	16158
467	56854	16035
468	56987	15917
469	57120	15799
470	57247	15679
471	57368	15557
472	57481	15433
473	57588	15308
474	57705	15185
475	57823	15063
476	57932	14938
477	58037	14812
478	58153	14690
479	58254	14563
480	58386	14444
481	58488	14318
482	58639	14204
483	58773	14086
484	58888	13963
485	59031	13846
486	59134	13721
487	59258	13600
488	59375	13477
489	59504	13358
490	59634	13238
491	59740	13113
492	59864	12992
493	59986	12871
494	60109	12750
495	60232	12629
496	60348	12506
497	60474	12386
498	60611	12268
499	60726	12145
500	60850	12024
501	60967	11901
502	61090	11780
503	61162	11650
504	61292	11530
505	61417	11409
506	61533	11287
