iter	Passed	Remaining
0	123	74072
1	234	69999
2	350	69808
3	469	69990
4	528	62903
5	644	63794
6	765	64845
7	884	65474
8	965	63433
9	1097	64726
10	1216	65158
11	1341	65734
12	1464	66105
13	1575	65930
14	1692	66018
15	1814	66221
16	1929	66156
17	1993	64465
18	2114	64669
19	2249	65238
20	2360	65073
21	2478	65106
22	2603	65315
23	2723	65353
24	2843	65408
25	2962	65403
26	3082	65407
27	3194	65263
28	3269	64378
29	3382	64270
30	3479	63869
31	3604	63985
32	3726	64022
33	3840	63936
34	3959	63917
35	4084	63982
36	4195	63840
37	4312	63785
38	4434	63792
39	4547	63660
40	4662	63575
41	4778	63486
42	4891	63356
43	5005	63247
44	5124	63197
45	5244	63159
46	5351	62969
47	5473	62946
48	5590	62869
49	5712	62842
50	5839	62862
51	5967	62884
52	6084	62797
53	6205	62743
54	6322	62653
55	6452	62682
56	6565	62540
57	6682	62444
58	6802	62371
59	6926	62337
60	7047	62274
61	7180	62311
62	7304	62259
63	7425	62187
64	7544	62099
65	7683	62162
66	7797	62033
67	7910	61885
68	8030	61803
69	8139	61625
70	8257	61524
71	8334	61120
72	8449	60997
73	8573	60944
74	8683	60782
75	8803	60700
76	8922	60603
77	9012	60314
78	9139	60274
79	9260	60190
80	9375	60075
81	9490	59954
82	9538	59411
83	9648	59268
84	9769	59188
85	9880	59053
86	9998	58959
87	10118	58871
88	10165	58367
89	10240	58030
90	10363	57968
91	10487	57907
92	10606	57825
93	10726	57739
94	10834	57594
95	10947	57474
96	11063	57368
97	11191	57329
98	11313	57255
99	11429	57145
100	11542	57025
101	11666	56962
102	11796	56920
103	11917	56836
104	12028	56703
105	12158	56665
106	12217	56293
107	12351	56270
108	12478	56208
109	12598	56119
110	12712	56002
111	12844	55966
112	12965	55878
113	13094	55823
114	13220	55754
115	13340	55661
116	13467	55595
117	13538	55302
118	13657	55202
119	13766	55067
120	13884	54965
121	13930	54581
122	14055	54508
123	14177	54421
124	14300	54340
125	14431	54288
126	14552	54198
127	14677	54124
128	14804	54052
129	14915	53925
130	15032	53819
131	15150	53716
132	15279	53651
133	15380	53488
134	15497	53379
135	15607	53248
136	15732	53170
137	15861	53100
138	15986	53021
139	16104	52914
140	16225	52819
141	16355	52751
142	16473	52645
143	16606	52588
144	16735	52516
145	16871	52463
146	16994	52370
147	17120	52285
148	17239	52182
149	17376	52129
150	17508	52061
151	17638	51988
152	17767	51910
153	17908	51864
154	18035	51779
155	18163	51695
156	18328	51717
157	18498	51748
158	18666	51773
159	18825	51769
160	18999	51805
161	19175	51844
162	19327	51816
163	19507	51860
164	19692	51917
165	19857	51916
166	20020	51908
167	20196	51935
168	20363	51932
169	20532	51935
170	20699	51930
171	20846	51874
172	20990	51808
173	21154	51791
174	21320	51778
175	21489	51771
176	21661	51766
177	21786	51651
178	21946	51616
179	22101	51571
180	22268	51549
181	22423	51500
182	22602	51504
183	22770	51480
184	22939	51459
185	23098	51412
186	23249	51347
187	23397	51274
188	23556	51225
189	23716	51178
190	23889	51155
191	24067	51143
192	24214	51063
193	24361	50983
194	24517	50920
195	24683	50878
196	24848	50832
197	25020	50798
198	25179	50738
199	25344	50689
200	25512	50644
201	25680	50597
202	25848	50551
203	26013	50496
204	26193	50470
205	26367	50431
206	26538	50385
207	26723	50362
208	26874	50277
209	27018	50176
210	27170	50090
211	27330	50019
212	27502	49968
213	27656	49884
214	27810	49799
215	27965	49715
216	28149	49682
217	28308	49604
218	28458	49509
219	28602	49404
220	28777	49351
221	28930	49259
222	29087	49174
223	29229	49064
224	29380	48967
225	29536	48878
226	29686	48780
227	29835	48679
228	29981	48573
229	30123	48458
230	30283	48374
231	30439	48282
232	30595	48191
233	30767	48123
234	30914	48016
235	31075	47929
236	31219	47816
237	31374	47720
238	31549	47653
239	31704	47557
240	31863	47464
241	32019	47367
242	32106	47168
243	32272	47086
244	32434	46996
245	32601	46914
246	32750	46805
247	32908	46708
248	33055	46596
249	33213	46499
250	33369	46398
251	33662	46486
252	33820	46386
253	33968	46271
254	34121	46164
255	34282	46067
256	34446	45973
257	34618	45889
258	34778	45789
259	34938	45689
260	35090	45577
261	35240	45462
262	35419	45385
263	35563	45263
264	35717	45152
265	35872	45043
266	36017	44920
267	36177	44816
268	36329	44702
269	36486	44594
270	36653	44497
271	36807	44386
272	36967	44279
273	37119	44163
274	37270	44046
275	37419	43927
276	37588	43830
277	37746	43720
278	37896	43601
279	38055	43491
280	38208	43375
281	38383	43283
282	38551	43183
283	38721	43084
284	38881	42974
285	39027	42848
286	39187	42737
287	39340	42618
288	39499	42506
289	39656	42391
290	39729	42186
291	39887	42072
292	40021	41933
293	40188	41829
294	40376	41744
295	40535	41631
296	40695	41517
297	40851	41400
298	41006	41280
299	41182	41182
300	41346	41071
301	41503	40953
302	41664	40839
303	41828	40728
304	41989	40612
305	42139	40487
306	42300	40371
307	42481	40274
308	42672	40187
309	42832	40069
310	42993	39952
311	43148	39829
312	43289	39693
313	43456	39581
314	43601	39449
315	43757	39326
316	43915	39205
317	44072	39083
318	44228	38959
319	44328	38787
320	44490	38668
321	44647	38546
322	44799	38419
323	44954	38294
324	45058	38126
325	45216	38004
326	45357	37867
327	45520	37748
328	45696	37640
329	45850	37513
330	46009	37391
331	46159	37261
332	46323	37142
333	46474	37012
334	46664	36913
335	46815	36783
336	46967	36653
337	47135	36537
338	47299	36416
339	47456	36290
340	47606	36158
341	47765	36033
342	47929	35912
343	48104	35798
344	48270	35678
345	48441	35561
346	48605	35438
347	48781	35324
348	48925	35187
349	49079	35057
350	49222	34918
351	49368	34782
352	49520	34650
353	49682	34524
354	49827	34388
355	49982	34257
356	50138	34127
357	50302	34003
358	50448	33866
359	50586	33724
360	50742	33594
361	50893	33460
362	51043	33326
363	51188	33188
364	51339	33053
365	51489	32919
366	51651	32792
367	51811	32663
368	51965	32531
369	52114	32395
370	52280	32269
371	52427	32133
372	52591	32006
373	52773	31890
374	52931	31758
375	53082	31623
376	53229	31485
377	53383	31352
378	53551	31226
379	53714	31097
380	53812	30931
381	53987	30809
382	54168	30690
383	54334	30563
384	54483	30426
385	54630	30287
386	54802	30162
387	54960	30029
388	55123	29899
389	55274	29762
390	55426	29627
391	55582	29492
392	55747	29363
393	55844	29197
394	55942	29033
395	56110	28905
396	56268	28771
397	56418	28634
398	56578	28501
399	56742	28371
400	56887	28230
401	57051	28100
402	57197	27960
403	57350	27823
404	57506	27688
405	57656	27550
406	57819	27417
407	57993	27291
408	58152	27156
409	58328	27030
410	58479	26891
411	58623	26750
412	58782	26615
413	58945	26482
414	59108	26349
415	59250	26206
416	59408	26071
417	59456	25887
418	59604	25747
419	59763	25612
420	59908	25471
421	60058	25332
422	60219	25198
423	60358	25054
424	60514	24917
425	60669	24780
426	60826	24643
427	60986	24508
428	61135	24368
429	61302	24236
430	61454	24097
431	61608	23958
432	61778	23826
433	61931	23688
434	62101	23555
435	62259	23418
436	62427	23285
437	62574	23143
438	62737	23008
439	62888	22868
440	63047	22731
441	63216	22597
442	63376	22460
443	63558	22331
444	63713	22192
445	63852	22047
446	63992	21903
447	64142	21762
448	64295	21622
449	64443	21481
450	64602	21343
451	64747	21200
452	64841	21041
453	64990	20900
454	65155	20763
455	65299	20620
456	65443	20477
457	65591	20336
458	65768	20203
459	65930	20065
460	66084	19925
461	66245	19787
462	66409	19650
463	66558	19508
464	66708	19366
465	66859	19225
466	67015	19085
467	67169	18945
468	67313	18801
469	67472	18662
470	67630	18522
471	67791	18384
472	67957	18246
473	68013	18079
474	68176	17941
475	68331	17800
476	68460	17653
477	68613	17512
478	68785	17375
479	68955	17238
480	69117	17099
481	69257	16955
482	69397	16810
483	69506	16658
484	69669	16519
485	69830	16379
486	70006	16243
487	70162	16102
488	70331	15964
489	70488	15823
490	70660	15686
491	70799	15541
492	70950	15398
493	71107	15257
494	71259	15115
495	71403	14971
496	71550	14828
497	71701	14685
498	71848	14542
499	72012	14402
500	72160	14259
501	72323	14118
502	72485	13978
503	72648	13837
504	72789	13693
505	72936	13549
506	73068	13403
507	73257	13267
508	73441	13130
509	73598	12988
510	73739	12843
511	73895	12700
512	74043	12557
513	74156	12407
514	74281	12260
515	74434	12117
516	74563	11970
517	74718	11827
518	74787	11672
519	74964	11533
520	75124	11391
521	75288	11249
522	75384	11098
523	75524	10953
524	75682	10811
525	75829	10668
526	75988	10525
527	76132	10381
528	76284	10238
529	76425	10093
530	76509	9941
531	76672	9800
532	76831	9657
533	76995	9516
534	77154	9373
535	77296	9229
536	77434	9084
537	77584	8940
538	77745	8798
539	77914	8657
540	78068	8513
541	78216	8370
542	78355	8225
543	78516	8082
544	78657	7937
545	78806	7794
546	78963	7650
547	79114	7507
548	79275	7364
549	79422	7220
550	79575	7076
551	79721	6932
552	79867	6788
553	80024	6644
554	80171	6500
555	80325	6356
556	80472	6212
557	80640	6069
558	80783	5925
559	80939	5781
560	81090	5637
561	81253	5494
562	81397	5349
563	81549	5205
564	81701	5061
565	81841	4916
566	81999	4772
567	82159	4628
568	82271	4482
569	82436	4338
570	82591	4194
571	82750	4050
572	82936	3908
573	83123	3765
574	83267	3620
575	83436	3476
576	83612	3332
577	83715	3186
578	83804	3039
579	83922	2893
580	84118	2750
581	84271	2606
582	84429	2461
583	84588	2317
584	84748	2173
585	84898	2028
586	85070	1884
587	85264	1740
588	85432	1595
589	85577	1450
590	85737	1305
591	85889	1160
592	85995	1015
593	86173	870
594	86320	725
595	86469	580
596	86634	435
597	86778	290
598	86932	145
599	87080	0
