iter	Poisson
0	0.9588241402
1	0.920012849
2	0.8832828088
3	0.850205223
4	0.8199195281
5	0.7908702446
6	0.7643091506
7	0.7390449279
8	0.7154998775
9	0.692904964
10	0.6720578634
11	0.6523266789
12	0.6340827029
13	0.6163390509
14	0.6000103421
15	0.5852530462
16	0.570564782
17	0.5576978429
18	0.545301273
19	0.5327809859
20	0.5215855563
21	0.5111291535
22	0.5011437425
23	0.4916489497
24	0.4823763059
25	0.4739826909
26	0.4658127288
27	0.4585650314
28	0.4519263973
29	0.4452850053
30	0.4389843177
31	0.4330413294
32	0.4273439508
33	0.4222820252
34	0.4170574558
35	0.4123031853
36	0.4075863619
37	0.4030427415
38	0.3987797077
39	0.3949110998
40	0.3913628815
41	0.387716728
42	0.3840938764
43	0.3809049493
44	0.3778098641
45	0.3747894507
46	0.372085586
47	0.3695841574
48	0.3671402222
49	0.3647084334
50	0.3624472444
51	0.3603100848
52	0.3582911388
53	0.3562189773
54	0.3543235354
55	0.352520867
56	0.3508207099
57	0.349214917
58	0.3476955521
59	0.3461591608
60	0.3447219665
61	0.3433220929
62	0.3419511125
63	0.3407569497
64	0.3395966935
65	0.3384565761
66	0.3375010094
67	0.336523165
68	0.3354528261
69	0.3345093441
70	0.333650586
71	0.3328795754
72	0.3320136843
73	0.3311554512
74	0.330358169
75	0.3296024274
76	0.3288173126
77	0.3281975263
78	0.3275186453
79	0.3269087856
80	0.3263412024
81	0.3257682386
82	0.3253599872
83	0.3247959179
84	0.3243178555
85	0.3237939149
86	0.323301651
87	0.3228895831
88	0.3225817837
89	0.3222216721
90	0.3217956379
91	0.3214178668
92	0.3209833451
93	0.3206055759
94	0.3202385976
95	0.319903865
96	0.3195841186
97	0.3192377512
98	0.3188770105
99	0.3185996152
100	0.3183138243
101	0.31803782
102	0.3177938454
103	0.3174981346
104	0.3172205414
105	0.3169713451
106	0.3168181788
107	0.316580635
108	0.3163849397
109	0.316160573
110	0.3159372561
111	0.3157008891
112	0.3154974916
113	0.3153058275
114	0.3151317253
115	0.3149489571
116	0.3147479945
117	0.3146511376
118	0.314466695
119	0.3142978835
120	0.3141283285
121	0.3140627313
122	0.3139084714
123	0.3137449776
124	0.313611482
125	0.313490619
126	0.3133701249
127	0.3132190376
128	0.3130976591
129	0.3130146319
130	0.3129232587
131	0.3128023843
132	0.3126797039
133	0.3125570844
134	0.3124400128
135	0.3123430851
136	0.3122429949
137	0.3121294765
138	0.3120400631
139	0.3119336935
140	0.3118261274
141	0.3117305905
142	0.3116416888
143	0.3115606205
144	0.3115018668
145	0.3114276437
146	0.3113735247
147	0.311303201
148	0.3112109712
149	0.3111213425
150	0.3110504222
151	0.3109874207
152	0.3109242584
153	0.3108598357
154	0.3107757097
155	0.3107206766
156	0.3106596113
157	0.3106080786
158	0.310547174
159	0.3104853039
160	0.3104152646
161	0.3103584473
162	0.3102900447
163	0.3102391757
164	0.3101757588
165	0.3101250099
166	0.3100617306
167	0.3100157274
168	0.3099564132
169	0.3099140686
170	0.3098646256
171	0.3098064836
172	0.3097529247
173	0.3097164315
174	0.3096543076
175	0.3096195092
176	0.3095779055
177	0.3095545853
178	0.309501486
179	0.3094615932
180	0.3094285915
181	0.3093970057
182	0.3093652142
183	0.3093240476
184	0.3092720983
185	0.3092245703
186	0.3092072565
187	0.3091564425
188	0.3091161895
189	0.3090798221
190	0.309051755
191	0.3090305541
192	0.3089946944
193	0.3089632592
194	0.3089415376
195	0.3089053886
196	0.3088634758
197	0.3088400424
198	0.3088216929
199	0.3087957588
200	0.3087651203
201	0.3087484099
202	0.3087337252
203	0.308698826
204	0.3086692273
205	0.3086516725
206	0.3086283984
207	0.3086013653
208	0.3085801592
209	0.3085515006
210	0.3085134751
211	0.3085005953
212	0.3084610845
213	0.3084440741
214	0.308420272
215	0.3084018348
216	0.3083750985
217	0.3083533886
218	0.3083357043
219	0.3083185054
220	0.308294921
221	0.3082698826
222	0.3082520123
223	0.308217675
224	0.3081939389
225	0.3081697029
226	0.3081450585
227	0.3081282646
228	0.3080967296
229	0.3080679077
230	0.3080464066
231	0.3080215198
232	0.3080025078
233	0.3079740231
234	0.3079463709
235	0.3079266833
236	0.3079072762
237	0.3078877201
238	0.3078646823
239	0.3078385557
240	0.3078255708
241	0.3077938471
242	0.3077880214
243	0.3077662512
244	0.3077452712
245	0.3077192528
246	0.3077094103
247	0.3076825665
248	0.3076699566
249	0.3076433472
250	0.3076312749
251	0.3076154711
252	0.3076035056
253	0.3075905775
254	0.3075714788
255	0.3075610799
256	0.3075420117
257	0.3075215652
258	0.3075019874
259	0.3074903376
260	0.3074705255
261	0.3074510189
262	0.3074378209
263	0.3074175375
264	0.3073982765
265	0.3073790259
266	0.3073671759
267	0.3073467432
268	0.3073311248
269	0.3073192228
270	0.3073088914
271	0.307285727
272	0.307272003
273	0.3072630906
274	0.3072445231
275	0.3072283299
276	0.3072211634
277	0.3072128594
278	0.3071957031
279	0.3071855455
280	0.3071742773
281	0.3071574999
282	0.3071420948
283	0.3071343903
284	0.3071124575
285	0.3070959035
286	0.30707099
287	0.3070633232
288	0.3070461266
289	0.3070355216
290	0.307032896
291	0.3070149825
292	0.3070026435
293	0.3069841838
294	0.3069788185
295	0.3069626156
296	0.3069551264
297	0.3069368338
298	0.306908983
299	0.3068985445
300	0.3068896024
301	0.3068696214
302	0.3068544136
303	0.3068458781
304	0.3068311579
305	0.3068256545
306	0.3068228671
307	0.3068088515
308	0.3067940256
309	0.3067822198
310	0.3067642534
311	0.3067592176
312	0.306742792
313	0.3067370649
314	0.3067273367
315	0.3067191713
316	0.3067084691
317	0.3066975363
318	0.3066889265
319	0.3066870443
320	0.3066687786
321	0.3066607816
322	0.3066355974
323	0.3066212341
324	0.3066152482
325	0.3065970919
326	0.3065863834
327	0.3065684992
328	0.3065518452
329	0.3065445694
330	0.306538915
331	0.3065297638
332	0.3065176652
333	0.306505853
334	0.3064902642
335	0.3064836691
336	0.3064820435
337	0.3064661218
338	0.3064577903
339	0.3064431667
340	0.3064316981
341	0.3064133393
342	0.3064039941
343	0.3063911734
344	0.3063908895
345	0.3063700926
346	0.3063639416
347	0.3063510014
348	0.3063380118
349	0.3063129957
350	0.3062974598
351	0.3062912759
352	0.3062833622
