iter	Poisson
0	0.5445802731
1	0.5235757101
2	0.5040539269
3	0.4858728701
4	0.4688675158
5	0.4529867619
6	0.4382461172
7	0.4246493468
8	0.4119108454
9	0.4000723862
10	0.3888934653
11	0.3785382362
12	0.3687427969
13	0.3596545475
14	0.3511496973
15	0.3431209236
16	0.3357511211
17	0.3287030245
18	0.3221072153
19	0.3158054748
20	0.3100776928
21	0.3045019774
22	0.2992580822
23	0.2943909784
24	0.2898680601
25	0.2854548322
26	0.2813380613
27	0.2775055085
28	0.2737488883
29	0.2703656566
30	0.2671910456
31	0.2641650209
32	0.2611951921
33	0.2583859855
34	0.2558205237
35	0.2533955922
36	0.2510246489
37	0.2488224299
38	0.2466605781
39	0.2446375415
40	0.242771294
41	0.2409522584
42	0.2393185341
43	0.2377147708
44	0.2361793806
45	0.2347314946
46	0.2333467873
47	0.2319931865
48	0.2307210758
49	0.229504703
50	0.2283714165
51	0.2272686333
52	0.2262597264
53	0.2252402316
54	0.2242314981
55	0.2232967743
56	0.2224501179
57	0.2216301375
58	0.2208286702
59	0.2200945744
60	0.2194450031
61	0.2187676027
62	0.2181643207
63	0.2175322097
64	0.2169157123
65	0.2163304694
66	0.2157734017
67	0.2152493135
68	0.2147229342
69	0.214258657
70	0.2138468127
71	0.2134113818
72	0.2130307376
73	0.212633386
74	0.2122944342
75	0.2119529492
76	0.2115901555
77	0.2112919453
78	0.2109612657
79	0.2106429927
80	0.2103691321
81	0.2101204115
82	0.2098260779
83	0.2095671066
84	0.2092985538
85	0.2090807813
86	0.2088454463
87	0.208636288
88	0.2083946744
89	0.2082058329
90	0.2079965537
91	0.207770592
92	0.2075879751
93	0.2073849964
94	0.2072339239
95	0.2070670216
96	0.206886993
97	0.2067592758
98	0.2066168242
99	0.2064427035
100	0.2062862554
101	0.2061561109
102	0.2060263211
103	0.2058976637
104	0.2057681963
105	0.2056518208
106	0.2055305703
107	0.2054066054
108	0.2052707292
109	0.2051740846
110	0.2050825295
111	0.2049778945
112	0.2048904114
113	0.2047970928
114	0.2047015214
115	0.2046227503
116	0.204543928
117	0.2044668518
118	0.2044129096
119	0.204318527
120	0.2042519566
121	0.2042120372
122	0.2041429574
123	0.2040668687
124	0.2040110537
125	0.2039806775
126	0.203903661
127	0.2038363323
128	0.2037992133
129	0.2037227306
130	0.2036600099
131	0.2035887045
132	0.2035389964
133	0.2034817493
134	0.2034206711
135	0.2033601411
136	0.2033109549
137	0.2032750082
138	0.2032356394
139	0.2031915693
140	0.2031507324
141	0.2031181186
142	0.2030939238
143	0.2030490371
144	0.2030316496
145	0.202999589
146	0.2029717329
147	0.2029353661
148	0.2028961291
149	0.2028649172
150	0.2028322815
151	0.2027930674
152	0.2027480396
153	0.2027056589
154	0.2026592274
155	0.2026329486
156	0.2025963315
157	0.2025564377
158	0.2025188097
159	0.2024872735
160	0.2024505284
161	0.2024076001
162	0.2023819978
163	0.2023482608
164	0.2023256873
165	0.2023009443
166	0.2022752863
167	0.2022453046
168	0.2022145575
169	0.2021907146
170	0.2021635273
171	0.2021330307
172	0.2021242169
173	0.2021048369
174	0.2020829146
175	0.2020747752
176	0.2020546798
177	0.2020281357
178	0.2020094433
179	0.2019926976
180	0.2019692545
181	0.2019495058
182	0.2019255425
183	0.2019045534
184	0.2018862848
185	0.201857725
186	0.2018298879
187	0.2018095155
188	0.2017854116
189	0.2017755964
190	0.2017536345
191	0.2017294119
192	0.2017195684
193	0.2017045076
194	0.2016837831
195	0.2016656226
196	0.2016464631
197	0.2016210984
198	0.2016042894
199	0.2015933304
200	0.2015813496
201	0.2015664606
202	0.2015505965
203	0.2015315827
204	0.2015129931
205	0.2015034934
206	0.2014855069
207	0.2014765598
208	0.2014682473
209	0.2014493571
210	0.2014386837
211	0.2014194032
212	0.2014014868
213	0.2014003229
214	0.2013861321
215	0.2013736219
216	0.2013613297
217	0.2013515722
218	0.2013420458
219	0.2013309095
220	0.201321546
221	0.201315006
222	0.2013010929
223	0.2012964268
224	0.2012840606
225	0.2012635792
226	0.2012495031
227	0.2012379343
228	0.2012244907
229	0.2012129678
230	0.201202946
231	0.2011927577
232	0.2011806233
233	0.2011696162
234	0.201165054
235	0.2011543084
236	0.2011474172
237	0.2011322801
238	0.201115503
239	0.2011002202
240	0.2010871821
