iter	Passed	Remaining
0	146	87465
1	279	83476
2	427	85144
3	567	84546
4	691	82242
5	826	81855
6	990	83883
7	1142	84581
8	1276	83831
9	1405	82932
10	1540	82500
11	1677	82220
12	1804	81464
13	1947	81496
14	2075	80954
15	2203	80439
16	2323	79674
17	2447	79143
18	2596	79404
19	2729	79155
20	2829	78017
21	2960	77772
22	3099	77756
23	3251	78034
24	3367	77449
25	3498	77237
26	3636	77171
27	3786	77358
28	3923	77260
29	4065	77253
30	4205	77192
31	4339	77020
32	4479	76974
33	4611	76765
34	4707	75994
35	4851	76012
36	5011	76259
37	5152	76200
38	5284	76017
39	5401	75616
40	5495	74931
41	5631	74812
42	5778	74855
43	5916	74763
44	6049	74616
45	6174	74368
46	6322	74388
47	6445	74120
48	6569	73870
49	6703	73733
50	6839	73620
51	6981	73575
52	7116	73447
53	7260	73408
54	7392	73251
55	7525	73100
56	7650	72884
57	7775	72658
58	7910	72530
59	8037	72339
60	8153	72041
61	8285	71893
62	8411	71700
63	8541	71537
64	8672	71384
65	8798	71191
66	8937	71099
67	9073	70986
68	9225	70995
69	9362	70885
70	9488	70695
71	9633	70643
72	9767	70512
73	9899	70368
74	10004	70028
75	10150	69984
76	10277	69806
77	10338	69186
78	10472	69066
79	10603	68922
80	10736	68794
81	10889	68792
82	11038	68756
83	11176	68658
84	11313	68545
85	11395	68108
86	11504	67836
87	11637	67707
88	11766	67559
89	11899	67432
90	12038	67336
91	12187	67295
92	12326	67198
93	12456	67053
94	12573	66838
95	12713	66747
96	12859	66682
97	12994	66561
98	13138	66490
99	13278	66393
100	13413	66271
101	13551	66163
102	13690	66061
103	13830	65960
104	13959	65809
105	14091	65671
106	14235	65590
107	14373	65480
108	14511	65368
109	14627	65157
110	14761	65028
111	14941	65101
112	15109	65119
113	15257	65044
114	15396	64934
115	15542	64850
116	15697	64802
117	15859	64782
118	15968	64545
119	16116	64464
120	16252	64339
121	16347	64050
122	16487	63939
123	16624	63816
124	16758	63683
125	16810	63239
126	16949	63126
127	17077	62974
128	17221	62879
129	17363	62777
130	17506	62677
131	17664	62627
132	17803	62512
133	17944	62405
134	18083	62288
135	18227	62186
136	18370	62084
137	18496	61923
138	18655	61871
139	18799	61769
140	18951	61694
141	19093	61583
142	19238	61482
143	19373	61350
144	19491	61162
145	19660	61136
146	19817	61069
147	19953	60940
148	20097	60831
149	20265	60796
150	20416	60707
151	20562	60606
152	20719	60532
153	20855	60400
154	21021	60352
155	21172	60259
156	21312	60137
157	21465	60049
158	21602	59917
159	21764	59852
160	21888	59684
161	22053	59625
162	22214	59557
163	22368	59467
164	22524	59383
165	22677	59289
166	22843	59227
167	22970	59067
168	23129	58987
169	23286	58899
170	23437	58798
171	23593	58709
172	23687	58465
173	23813	58302
174	23990	58263
175	24094	58045
176	24261	57979
177	24417	57889
178	24570	57789
179	24714	57667
180	24880	57597
181	25035	57499
182	25194	57411
183	25384	57391
184	25548	57310
185	25699	57202
186	25838	57066
187	25974	56923
188	26138	56840
189	26307	56768
190	26457	56655
191	26603	56533
192	26762	56436
193	26924	56346
194	27088	56261
195	27306	56285
196	27460	56176
197	27634	56105
198	27808	56036
199	27965	55930
200	28113	55806
201	28290	55741
202	28441	55621
203	28595	55508
204	28754	55405
205	28900	55274
206	29063	55179
207	29214	55057
208	29362	54931
209	29489	54766
210	29637	54639
211	29786	54515
212	29920	54362
213	29999	54110
214	30172	54029
215	30403	54050
216	30601	54010
217	30739	53865
218	30881	53726
219	31036	53608
220	31192	53492
221	31346	53372
222	31485	53229
223	31595	53035
224	31780	52967
225	31941	52858
226	32106	52756
227	32250	52619
228	32411	52510
229	32560	52379
230	32710	52252
231	32854	52113
232	33013	51999
233	33175	51889
234	33335	51776
235	33497	51666
236	33644	51531
237	33812	51429
238	33991	51342
239	34155	51232
240	34310	51110
241	34449	50962
242	34557	50769
243	34697	50623
244	34860	50511
245	35014	50386
246	35170	50264
247	35329	50144
248	35480	50014
249	35614	49859
250	35763	49727
251	35913	49594
252	36058	49455
253	36223	49343
254	36382	49223
255	36544	49106
256	36681	48956
257	36823	48812
