iter	Poisson
0	0.5449752549
1	0.5240812286
2	0.5046461682
3	0.4870120937
4	0.4701582479
5	0.4544059282
6	0.4398073679
7	0.42611067
8	0.4134321065
9	0.4014490282
10	0.3903220683
11	0.379930446
12	0.3702554838
13	0.3610756506
14	0.3525810585
15	0.3445471744
16	0.3371653772
17	0.3300893082
18	0.3234903966
19	0.3171945813
20	0.3114778856
21	0.3060286422
22	0.3008631233
23	0.2959651177
24	0.2913305896
25	0.2869387345
26	0.2828914639
27	0.2790538509
28	0.2753022045
29	0.2717935019
30	0.2684829576
31	0.2654249649
32	0.2624559403
33	0.2596459346
34	0.2570703775
35	0.2545249447
36	0.2521632382
37	0.2499177934
38	0.2477837232
39	0.2458334707
40	0.2439658724
41	0.2421656953
42	0.2404331364
43	0.2387897036
44	0.2372705551
45	0.23576779
46	0.2343349559
47	0.2329803677
48	0.2317451697
49	0.2305929122
50	0.2294296456
51	0.2283322163
52	0.2273120192
53	0.2264048351
54	0.2254284941
55	0.2245402552
56	0.2236802085
57	0.2228790235
58	0.2221359892
59	0.221409376
60	0.2207148243
61	0.2200645765
62	0.2194538155
63	0.2187862009
64	0.2182499884
65	0.2176874821
66	0.2171552508
67	0.2166627259
68	0.2162319537
69	0.2157197093
70	0.2152889896
71	0.214849884
72	0.2144371382
73	0.2140363443
74	0.2136404179
75	0.2132741458
76	0.2129029734
77	0.2125392149
78	0.2122348514
79	0.2119049042
80	0.2116012627
81	0.2113077789
82	0.2110617765
83	0.2108090909
84	0.2105799637
85	0.2103884792
86	0.2101478551
87	0.2098887538
88	0.2096695321
89	0.2095091883
90	0.2093437053
91	0.2091402349
92	0.2089540194
93	0.208812853
94	0.2086261594
95	0.2085051738
96	0.208347647
97	0.208231847
98	0.2080838849
99	0.207935503
100	0.2077666571
101	0.2076107986
102	0.2074582846
103	0.2073537132
104	0.2072632023
105	0.2071201453
106	0.2070270337
107	0.2069528398
108	0.2068362776
109	0.2067393589
110	0.2066239513
111	0.2065251225
112	0.2064047727
113	0.2063200548
114	0.2062339052
115	0.2061638858
116	0.2060636481
117	0.2059837139
118	0.2059116194
119	0.2058157287
120	0.2057285674
121	0.205669127
122	0.2056135921
123	0.2055608822
124	0.2054809506
125	0.2054079405
126	0.2053364293
127	0.2052737201
128	0.2052205612
129	0.2051566195
130	0.2050889018
131	0.2050183293
132	0.2049535597
133	0.2048872804
134	0.2048463693
135	0.2047727553
136	0.2047323591
137	0.2046740418
138	0.204627259
139	0.2045764523
140	0.2045258385
141	0.2044767993
142	0.2044565023
143	0.2044043474
144	0.204362939
145	0.2043349402
146	0.2043020106
147	0.2042675436
148	0.2042149969
149	0.2041723257
150	0.2041263499
151	0.2040933331
152	0.2040586069
153	0.2040044149
154	0.2039696609
155	0.2039542575
156	0.2039403639
157	0.203905322
158	0.2038693657
159	0.2038294783
160	0.203801851
161	0.203787676
162	0.2037543679
163	0.2037260572
164	0.2036927143
165	0.2036637787
166	0.2036368491
167	0.2036223613
168	0.203600261
169	0.2035677932
170	0.2035510645
171	0.2035243484
172	0.2034999247
173	0.2034809816
174	0.2034495456
175	0.2034363195
176	0.2034167835
177	0.2033898332
178	0.2033628698
179	0.203340373
180	0.2033223179
181	0.2033005218
182	0.2032788706
183	0.2032577135
184	0.2032401048
185	0.2032273257
186	0.2032195925
187	0.2031977465
188	0.2031725032
189	0.2031666029
190	0.2031561603
191	0.2031396187
192	0.2031159933
193	0.2030953393
194	0.2030756124
195	0.2030654463
196	0.2030454175
197	0.2030331136
198	0.2030192999
199	0.2030012185
200	0.202982328
201	0.2029554302
202	0.2029415502
203	0.2029231022
204	0.2029082513
205	0.2028950189
206	0.2028803335
207	0.2028623053
208	0.2028413399
209	0.2028231068
210	0.2028203194
211	0.2028054862
212	0.2027877333
213	0.2027780272
214	0.2027617232
215	0.2027446958
216	0.2027319234
217	0.2027186782
218	0.2027053147
219	0.2026951433
220	0.2026879281
221	0.2026680083
222	0.2026536822
223	0.2026410857
224	0.2026261741
225	0.2026156394
226	0.2025987273
227	0.2025829281
228	0.2025696803
229	0.2025534031
230	0.2025510662
231	0.2025376643
232	0.2025222679
233	0.2025169438
234	0.2024997554
235	0.2024902154
236	0.2024788014
237	0.2024615234
238	0.2024548014
239	0.2024480506
240	0.2024323581
241	0.2024256144
242	0.2024158154
243	0.2024027177
244	0.2023956168
245	0.2023831985
246	0.2023688069
247	0.2023544424
248	0.2023448513
249	0.202339415
250	0.2023335162
251	0.2023235294
252	0.2023078545
253	0.2023047784
254	0.2022998584
255	0.2022881983
256	0.2022764644
257	0.2022703627
258	0.2022625599
259	0.2022540448
260	0.20224837
261	0.2022368028
262	0.2022278141
263	0.2022252783
264	0.2022064895
265	0.202201945
266	0.2021920597
267	0.2021914305
268	0.2021870032
269	0.2021748991
270	0.2021708905
271	0.2021677535
272	0.202165731
273	0.2021599603
274	0.2021545421
275	0.2021429783
276	0.202133338
277	0.2021286323
278	0.2021201851
279	0.2021075475
280	0.2021046576
281	0.2020964594
282	0.2020909766
283	0.2020839061
284	0.2020756436
285	0.2020723551
286	0.2020618816
287	0.2020572637
288	0.2020484219
289	0.2020440641
290	0.2020353222
291	0.2020284132
292	0.2020131037
293	0.2020072936
294	0.2019992473
295	0.2019926498
296	0.2019901532
297	0.2019781061
298	0.2019697062
299	0.2019614134
300	0.2019488197
301	0.2019453786
302	0.2019425052
303	0.2019381884
304	0.2019362161
305	0.2019341369
306	0.2019243269
307	0.2019162221
308	0.2019078107
309	0.2019051328
310	0.2018952638
311	0.2018856166
312	0.2018824975
313	0.2018777778
314	0.2018671195
315	0.2018557371
316	0.2018461487
317	0.2018449405
318	0.2018434946
319	0.2018409831
320	0.2018309409
321	0.2018219407
322	0.2018164079
323	0.2018138671
324	0.2018052969
325	0.2018009661
326	0.2017931969
327	0.2017877492
328	0.2017795341
329	0.201772232
330	0.2017692879
331	0.2017623748
332	0.2017612452
333	0.201752583
334	0.2017499495
335	0.2017483569
336	0.201744145
337	0.2017423048
338	0.2017338049
339	0.2017258575
340	0.2017173718
341	0.2017088596
342	0.2017020431
343	0.2016993521
344	0.2016980794
345	0.201692148
346	0.2016895814
347	0.2016892069
348	0.2016765873
349	0.201669564
350	0.2016675639
351	0.2016613101
352	0.2016511638
353	0.2016446375
354	0.2016420592
355	0.2016398627
356	0.2016375735
357	0.2016258727
358	0.2016233454
359	0.2016179458
360	0.2016162123
361	0.2016103721
362	0.2016057368
363	0.2016022062
364	0.2015978216
365	0.201592693
366	0.2015887716
367	0.2015837393
368	0.2015777655
369	0.2015750008
370	0.2015682224
371	0.2015654257
372	0.2015622859
373	0.2015584913
