iter	Passed	Remaining
0	296	177852
1	423	126696
2	547	109044
3	666	99240
4	788	93858
5	907	89847
6	1025	86835
7	1159	85807
8	1276	83843
9	1409	83160
10	1548	82918
11	1706	83628
12	1849	83498
13	1998	83633
14	2142	83551
15	2296	83806
16	2439	83655
17	2564	82919
18	2690	82259
19	2810	81494
20	2904	80076
21	3029	79593
22	3160	79280
23	3281	78753
24	3413	78514
25	3552	78423
26	3669	77874
27	3793	77505
28	3916	77119
29	4052	76995
30	4185	76823
31	4328	76829
32	4452	76508
33	4572	76124
34	4659	75213
35	4785	74966
36	4909	74708
37	5027	74351
38	5146	74025
39	5240	73363
40	5367	73181
41	5488	72917
42	5608	72644
43	5733	72451
44	5833	71946
45	5948	71635
46	6072	71452
47	6207	71384
48	6325	71134
49	6464	71113
50	6591	70950
51	6734	70967
52	6870	70911
53	6951	70290
54	7101	70371
55	7241	70346
56	7379	70299
57	7512	70202
58	7637	70032
59	7777	69996
60	7923	70015
61	8036	69736
62	8174	69674
63	8307	69572
64	8435	69430
65	8562	69276
66	8673	68995
67	8787	68749
68	8844	68061
69	8965	67883
70	9090	67727
71	9240	67764
72	9361	67584
73	9495	67497
74	9633	67437
75	9780	67432
76	9914	67342
77	10041	67199
78	10168	67057
79	10309	67012
80	10444	66923
81	10571	66779
82	10694	66613
83	10814	66429
84	10918	66156
85	10966	65544
86	11116	65550
87	11247	65441
88	11373	65302
89	11427	64757
90	11548	64593
91	11669	64434
92	11787	64261
93	11874	63922
94	11993	63754
95	12037	63196
96	12165	63086
97	12233	62665
98	12362	62562
99	12474	62371
100	12608	62295
101	12752	62259
102	12882	62160
103	12998	61994
104	13063	61587
105	13180	61424
106	13295	61258
107	13357	60848
108	13487	60755
109	13614	60644
110	13725	60465
111	13852	60355
112	13979	60249
113	14110	60154
114	14273	60195
115	14411	60131
116	14557	60095
117	14688	59997
118	14818	59896
119	14954	59818
120	15077	59688
121	15209	59590
122	15334	59467
123	15456	59334
124	15577	59194
125	15689	59022
126	15811	58887
127	15937	58769
128	16051	58608
129	16188	58527
130	16316	58416
131	16450	58325
132	16573	58192
133	16695	58059
134	16818	57931
135	16943	57806
136	17067	57679
137	17202	57589
138	17331	57480
139	17444	57316
140	17562	57172
141	17677	57015
142	17748	56721
143	17860	56559
144	17976	56407
145	18094	56267
146	18223	56157
147	18349	56041
148	18474	55920
149	18587	55762
150	18724	55677
151	18845	55544
152	18975	55437
153	19126	55391
154	19253	55275
155	19371	55133
156	19435	54841
157	19556	54708
158	19668	54551
159	19793	54433
160	19915	54302
161	20029	54153
162	20137	53989
163	20280	53915
164	20422	53841
165	20545	53715
166	20665	53581
167	20769	53407
168	20886	53266
169	21006	53134
170	21079	52882
171	21208	52774
172	21332	52652
173	21467	52558
174	21591	52436
175	21717	52319
176	21831	52173
177	21952	52043
178	22084	51942
179	22209	51821
180	22339	51715
181	22470	51607
182	22617	51537
183	22762	51462
184	22898	51366
185	23017	51233
186	23144	51116
187	23310	51084
188	23441	50976
189	23541	50800
190	23680	50707
191	23801	50577
192	23929	50462
193	24058	50349
194	24207	50277
195	24387	50267
196	24531	50184
197	24669	50085
198	24811	49997
199	24932	49864
200	25069	49764
201	25216	49683
202	25361	49598
203	25486	49473
204	25629	49383
205	25768	49285
206	25894	49162
207	26024	49045
208	26165	48949
209	26319	48879
210	26403	48677
211	26547	48586
212	26686	48487
213	26829	48393
214	26968	48293
215	27104	48186
216	27269	48130
217	27429	48064
218	27584	47989
219	27678	47809
220	27818	47706
221	27964	47615
222	28098	47503
223	28246	47412
224	28386	47310
225	28526	47207
226	28674	47117
227	28815	47014
228	28949	46900
229	29091	46799
230	29167	46591
231	29314	46498
232	29444	46378
233	29579	46265
234	29719	46160
235	29846	46034
236	29972	45907
237	30125	45820
238	30265	45714
239	30413	45620
240	30562	45526
241	30716	45440
242	30851	45325
243	30987	45210
244	31122	45096
245	31258	44981
246	31409	44889
247	31541	44768
248	31678	44654
249	31815	44542
250	31944	44417
251	32079	44300
252	32223	44195
253	32358	44079
254	32509	43982
255	32634	43852
256	32754	43714
257	32881	43587
258	33018	43472
259	33153	43354
260	33293	43243
261	33438	43138
262	33595	43048
263	33692	42881
264	33827	42762
265	33941	42618
266	34090	42517
267	34156	42313
268	34289	42192
269	34427	42077
270	34560	41957
271	34689	41831
272	34822	41710
273	34967	41603
274	35103	41485
275	35239	41368
276	35368	41241
277	35509	41129
278	35638	41003
279	35759	40867
280	35861	40711
281	35990	40585
282	36127	40468
283	36275	40363
284	36464	40302
285	36622	40207
286	36770	40101
287	36910	39986
288	37055	39875
289	37186	39751
290	37341	39651
291	37482	39536
292	37626	39424
293	37752	39293
294	37899	39183
295	38036	39065
296	38162	38932
297	38305	38820
298	38473	38730
299	38621	38621
300	38751	38494
301	38874	38359
302	39007	38235
303	39151	38121
304	39291	38003
305	39435	37888
306	39577	37772
307	39710	37648
308	39850	37529
309	39990	37410
310	40121	37283
311	40290	37190
312	40468	37107
313	40641	37017
314	40810	36923
315	40965	36817
316	41138	36725
317	41325	36647
318	41528	36581
319	41694	36482
320	41828	36355
321	41953	36221
322	42074	36082
323	42209	35956
324	42362	35845
325	42496	35718
326	42655	35611
327	42788	35483
328	42939	35369
329	43070	35239
330	43215	35120
331	43376	35014
332	43505	34882
333	43643	34758
334	43791	34641
335	43938	34522
336	44091	34409
337	44216	34274
338	44363	34156
339	44511	34038
340	44665	33924
341	44793	33791
342	44927	33662
343	45066	33537
344	45170	33386
345	45312	33264
346	45459	33144
347	45523	32965
348	45669	32845
349	45814	32724
350	45952	32598
351	46099	32479
352	46240	32355
353	46404	32247
354	46555	32130
355	46702	32009
356	46848	31888
357	46987	31762
358	47121	31632
359	47262	31508
360	47400	31381
361	47545	31258
362	47707	31148
363	47868	31035
364	48047	30934
365	48210	30823
366	48367	30707
367	48517	30586
368	48661	30462
369	48797	30333
370	48940	30208
371	49066	30073
372	49201	29943
373	49329	29808
374	49463	29678
375	49597	29547
376	49755	29431
377	49884	29297
378	50027	29171
379	50160	29040
380	50295	28909
381	50421	28774
382	50551	28641
383	50684	28509
384	50821	28380
385	50958	28251
386	51091	28120
387	51237	27995
388	51377	27868
389	51461	27710
390	51583	27572
391	51709	27437
392	51832	27300
393	51972	27173
394	52096	27037
395	52232	26907
396	52345	26766
397	52490	26640
398	52633	26514
399	52768	26384
400	52887	26246
401	52957	26083
402	53090	25952
403	53230	25824
404	53397	25710
405	53552	25589
406	53682	25456
407	53817	25325
408	53942	25190
409	54082	25062
410	54219	24932
411	54354	24802
412	54509	24680
413	54642	24549
414	54784	24421
415	54920	24291
416	55040	24154
417	55170	24021
418	55305	23890
419	55434	23757
420	55584	23633
421	55736	23509
422	55871	23378
423	56009	23249
424	56143	23117
425	56290	22991
426	56403	22851
427	56548	22725
428	56673	22590
429	56807	22458
430	56933	22324
431	57073	22195
432	57202	22061
433	57359	21939
434	57483	21804
435	57616	21672
436	57738	21536
437	57861	21400
438	57992	21268
439	58135	21140
440	58275	21010
441	58350	20858
442	58494	20730
443	58628	20599
444	58770	20470
445	58897	20336
446	59031	20205
447	59156	20071
448	59285	19937
449	59422	19807
450	59548	19673
451	59677	19540
452	59773	19396
453	59906	19265
454	60033	19131
455	60161	18998
456	60320	18875
457	60471	18748
458	60600	18615
459	60719	18479
460	60853	18348
461	60996	18219
462	61122	18085
463	61241	17949
464	61395	17824
465	61526	17692
466	61658	17559
467	61795	17429
468	61895	17288
469	62041	17160
470	62169	17027
471	62299	16894
472	62348	16740
473	62490	16611
474	62618	16478
475	62746	16345
476	62887	16216
477	63019	16084
478	63107	15941
479	63240	15810
480	63365	15676
481	63518	15550
482	63641	15416
483	63753	15279
484	63885	15148
485	64024	15018
486	64159	14887
487	64310	14759
488	64472	14634
489	64654	14514
490	64800	14385
491	64948	14256
492	65075	14123
493	65192	13988
494	65352	13862
495	65495	13732
496	65630	13601
497	65764	13469
498	65897	13338
499	66045	13209
500	66201	13081
501	66364	12955
502	66517	12827
503	66668	12698
504	66828	12571
505	66947	12436
506	67096	12307
507	67240	12177
508	67377	12045
509	67529	11917
510	67580	11770
511	67711	11637
512	67843	11505
513	67972	11372
514	68104	11240
515	68224	11106
516	68349	10972
517	68492	10842
518	68647	10713
519	68746	10576
520	68910	10448
521	69049	10317
522	69195	10187
523	69338	10056
524	69463	9923
525	69611	9793
526	69747	9661
527	69862	9526
528	69978	9392
529	70108	9259
530	70248	9128
531	70383	8996
532	70518	8864
533	70632	8729
534	70694	8589
535	70817	8455
536	70935	8322
537	71053	8188
538	71171	8054
539	71305	7922
540	71452	7792
541	71599	7661
542	71738	7530
543	71892	7400
544	72022	7268
545	72145	7135
546	72265	7001
547	72396	6869
548	72554	6740
549	72684	6607
550	72808	6474
551	72939	6342
552	73063	6209
553	73185	6076
554	73335	5946
555	73477	5814
556	73627	5683
557	73762	5552
558	73887	5419
559	74011	5286
560	74135	5153
561	74254	5020
562	74396	4889
563	74554	4758
564	74700	4627
565	74844	4495
566	74949	4362
567	75077	4229
568	75212	4097
569	75349	3965
570	75480	3833
571	75623	3701
572	75789	3571
573	75853	3435
574	75979	3303
575	76108	3171
576	76241	3039
577	76395	2907
578	76527	2775
579	76668	2643
580	76786	2511
581	76914	2378
582	77063	2247
583	77196	2114
584	77314	1982
585	77437	1850
586	77578	1718
587	77712	1585
588	77838	1453
589	77981	1321
590	78125	1189
591	78254	1057
592	78350	924
593	78479	792
594	78620	660
595	78770	528
596	78894	396
597	79022	264
598	79161	132
599	79300	0
